customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,streaming_tv,streaming_movies,tech_support,online_security,churn
CUST_000001,9,20.6,269.44,Month-to-Month,Bank transfer,DSL,0,0,1,1,0
CUST_000002,60,19.99,1199.29,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000003,26,11.76,264.86,Two year,Bank transfer,DSL,0,0,0,1,0
CUST_000004,18,24.11,440.13,Month-to-Month,Credit card,DSL,1,0,0,1,0
CUST_000005,3,14.77,16.78,Two year,Electronic check,Fiber optic,1,1,1,0,0
CUST_000006,3,27.99,53.13,Month-to-Month,Electronic check,DSL,0,1,1,1,1
CUST_000007,1,12.42,34.08,One year,Bank transfer,DSL,1,1,0,0,0
CUST_000008,40,16.44,577.41,Two year,Bank transfer,Fiber optic,1,1,1,1,0
CUST_000009,18,26.44,403.72,Month-to-Month,Electronic check,Fiber optic,1,0,0,1,0
CUST_000010,24,26.39,634.32,Month-to-Month,Bank transfer,No,0,0,0,0,1
CUST_000011,1,28.29,28.29,Month-to-Month,Bank transfer,No,0,0,0,0,1
CUST_000012,70,21.48,1520.78,One year,Credit card,DSL,1,0,1,0,0
CUST_000013,35,28.92,1105.96,Month-to-Month,Electronic check,DSL,1,1,0,1,0
CUST_000014,4,16.32,70.51,One year,Credit card,Fiber optic,1,0,1,0,1
CUST_000015,4,22.55,120.11,Month-to-Month,Electronic check,Fiber optic,0,0,1,1,1
CUST_000016,4,15.21,15.21,Month-to-Month,Bank transfer,DSL,1,1,0,0,1
CUST_000017,7,15.1,144.1,Month-to-Month,Bank transfer,DSL,0,1,1,1,0
CUST_000018,14,18.6,234.08,Month-to-Month,Mailed check,DSL,1,0,1,0,1
CUST_000019,11,13.31,149.98,One year,Credit card,Fiber optic,1,0,0,0,0
CUST_000020,6,12.6,70.16,Two year,Electronic check,DSL,0,0,0,0,1
CUST_000021,18,14.3,309.05,One year,Bank transfer,No,0,0,0,0,1
CUST_000022,3,15.43,15.43,Month-to-Month,Electronic check,DSL,0,0,0,0,0
CUST_000023,6,19.09,19.09,Two year,Bank transfer,No,0,0,0,0,0
CUST_000024,9,12.11,98.32,One year,Electronic check,No,0,0,0,0,0
CUST_000025,12,17.36,231.75,Two year,Credit card,Fiber optic,0,1,1,1,1
CUST_000026,30,17.28,526.01,Month-to-Month,Credit card,Fiber optic,0,0,0,1,0
CUST_000027,4,28.68,176.33,Month-to-Month,Credit card,Fiber optic,1,0,0,1,1
CUST_000028,14,28.39,419.33,Month-to-Month,Electronic check,DSL,1,0,0,1,0
CUST_000029,17,20.5,320.31,One year,Bank transfer,DSL,0,1,1,0,0
CUST_000030,1,25.08,25.08,Month-to-Month,Electronic check,Fiber optic,0,0,1,1,1
CUST_000031,18,15.08,259.57,Month-to-Month,Credit card,Fiber optic,1,1,1,1,1
CUST_000032,3,29.77,140.71,Month-to-Month,Bank transfer,Fiber optic,1,0,1,1,1
CUST_000033,1,23.41,23.41,One year,Bank transfer,Fiber optic,1,1,0,0,0
CUST_000034,59,23.64,1396.18,One year,Bank transfer,Fiber optic,1,0,0,1,0
CUST_000035,67,24.89,1688.7,Month-to-Month,Electronic check,Fiber optic,1,1,1,1,0
CUST_000036,33,20.17,614.85,Month-to-Month,Bank transfer,Fiber optic,1,0,1,0,1
CUST_000037,7,23.62,196.5,One year,Electronic check,Fiber optic,1,0,0,1,0
CUST_000038,2,12.92,107.7,Two year,Credit card,No,0,0,0,0,0
CUST_000039,23,19.32,435.72,One year,Credit card,Fiber optic,1,0,0,1,1
CUST_000040,11,11.0,64.55,Two year,Bank transfer,Fiber optic,1,0,0,0,0
CUST_000041,2,23.99,44.65,One year,Credit card,Fiber optic,0,1,0,0,0
CUST_000042,13,13.83,68.57,One year,Electronic check,Fiber optic,1,1,0,0,0
CUST_000043,1,18.37,35.22,Month-to-Month,Credit card,Fiber optic,1,0,1,1,1
CUST_000044,48,19.26,947.09,One year,Electronic check,DSL,1,1,0,0,0
CUST_000045,5,21.93,193.43,One year,Bank transfer,No,0,0,0,0,1
CUST_000046,21,20.05,411.35,One year,Bank transfer,DSL,1,0,0,1,1
CUST_000047,7,18.48,149.78,Month-to-Month,Electronic check,Fiber optic,1,1,1,0,0
CUST_000048,14,15.01,167.08,Month-to-Month,Mailed check,DSL,1,1,1,1,1
CUST_000049,15,26.36,377.58,Month-to-Month,Electronic check,DSL,0,0,0,1,0
CUST_000050,4,29.78,42.86,Month-to-Month,Credit card,Fiber optic,0,1,1,0,1
CUST_000051,69,27.15,1863.61,Month-to-Month,Electronic check,Fiber optic,1,1,0,1,0
CUST_000052,29,14.6,408.13,Two year,Bank transfer,No,0,0,0,0,1
CUST_000053,56,28.56,1614.32,Month-to-Month,Credit card,DSL,1,0,1,1,1
CUST_000054,45,21.15,920.57,Month-to-Month,Electronic check,DSL,0,1,0,1,0
CUST_000055,18,22.87,415.83,Month-to-Month,Mailed check,DSL,1,0,1,0,0
CUST_000056,50,18.2,893.33,One year,Bank transfer,Fiber optic,0,1,0,1,0
CUST_000057,1,21.71,21.71,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000058,4,26.63,110.54,Month-to-Month,Credit card,Fiber optic,1,0,0,0,1
CUST_000059,1,18.85,20.88,One year,Electronic check,Fiber optic,0,0,0,1,0
CUST_000060,7,19.75,176.31,Month-to-Month,Electronic check,No,0,0,0,0,0
CUST_000061,9,12.58,107.19,Two year,Bank transfer,DSL,1,0,0,1,0
CUST_000062,6,10.38,44.79,Two year,Mailed check,Fiber optic,1,0,1,1,0
CUST_000063,35,23.75,822.21,Month-to-Month,Credit card,Fiber optic,1,0,1,0,1
CUST_000064,8,18.45,111.87,Month-to-Month,Credit card,DSL,1,1,1,1,1
CUST_000065,6,13.93,65.58,One year,Mailed check,DSL,1,1,0,1,1
CUST_000066,15,24.81,473.71,Month-to-Month,Mailed check,DSL,1,0,1,1,0
CUST_000067,3,25.22,30.03,Month-to-Month,Electronic check,No,0,0,0,0,0
CUST_000068,32,26.28,827.03,Month-to-Month,Electronic check,Fiber optic,1,1,1,1,1
CUST_000069,1,15.04,15.04,Two year,Bank transfer,No,0,0,0,0,0
CUST_000070,72,28.41,2033.16,Month-to-Month,Credit card,Fiber optic,1,1,1,1,0
CUST_000071,29,24.17,684.37,One year,Electronic check,Fiber optic,0,0,1,1,0
CUST_000072,4,22.5,103.96,One year,Electronic check,Fiber optic,0,0,0,1,0
CUST_000073,1,24.53,24.53,Month-to-Month,Mailed check,No,0,0,0,0,0
CUST_000074,33,19.56,697.34,Month-to-Month,Electronic check,DSL,1,1,0,0,0
CUST_000075,24,19.83,507.55,Two year,Bank transfer,DSL,1,0,1,0,0
CUST_000076,26,19.11,434.72,Month-to-Month,Bank transfer,Fiber optic,0,1,0,0,0
CUST_000077,29,14.63,310.82,One year,Mailed check,No,0,0,0,0,0
CUST_000078,1,21.63,21.63,Month-to-Month,Electronic check,No,0,0,0,0,0
CUST_000079,8,15.85,114.67,Month-to-Month,Credit card,Fiber optic,1,0,0,0,0
CUST_000080,2,29.68,188.37,Month-to-Month,Electronic check,DSL,1,1,1,1,1
CUST_000081,39,23.83,956.53,Month-to-Month,Credit card,DSL,1,0,0,0,0
CUST_000082,19,23.35,353.27,Month-to-Month,Mailed check,No,0,0,0,0,1
CUST_000083,8,16.56,98.0,Two year,Credit card,Fiber optic,1,1,0,1,0
CUST_000084,1,22.46,22.46,Month-to-Month,Bank transfer,DSL,0,1,1,1,0
CUST_000085,7,15.48,121.04,Month-to-Month,Electronic check,No,0,0,0,0,1
CUST_000086,7,24.18,103.52,Month-to-Month,Credit card,DSL,1,0,1,0,0
CUST_000087,26,21.31,547.31,One year,Bank transfer,Fiber optic,1,0,0,1,0
CUST_000088,20,21.25,389.12,Month-to-Month,Electronic check,Fiber optic,0,0,0,1,0
CUST_000089,43,21.84,883.93,One year,Electronic check,DSL,1,1,1,0,0
CUST_000090,12,18.41,233.9,Month-to-Month,Bank transfer,DSL,1,1,1,0,1
